II,12,10,32,3
0.0,.1,.2,.3,.4,.5,.75,1.0,1.5,2.0,2.5,3.0
0.0,.1,.2,.3,.4,.5,.75,1.0,1.25,1.5,2.0
11.0,11.3,11.6,11.9,12.0,12.1,12.2,12.3,12.4,12.5,12.6,12.7,12.8,13.0,13.2,13.4,13.6,13.8,14.0,14.3,14.6,15.0,15.5,16.0,16.5,17.0,17.5,18.0,19.0,20.0,22.0,26.0
0.10,0.30,0.50
24,34,53,334,647,1010,628,217,147,123,104,86,76,66,57,51,46,42,38,34,32,29,26,23,21,20,19,18,15,13,12,0
21,29,43,134,267,520,847,701,378,224,157,122,98,75,64,56,50,45,41,36,33,30,27,24,21,20,19,18,16,13,12,0
18,25,35,61,110,215,418,704,702,486,312,209,151,94,73,62,54,49,44,38,34,31,28,25,22,21,19,18,16,14,12,0
17,23,33,56,92,174,337,582,662,545,389,269,190,109,79,65,56,50,45,39,35,32,29,25,22,21,20,18,16,14,12,0
15,20,28,41,51,78,142,272,478,601,563,447,328,172,104,76,63,55,49,42,37,33,29,26,23,21,20,19,17,14,12,0
14,19,26,39,47,68,117,220,392,531,553,482,380,209,121,84,67,57,51,43,38,33,30,27,23,21,20,19,17,14,12,0
12,15,21,29,33,38,49,73,126,224,343,432,464,385,252,156,103,76,62,50,43,36,31,28,25,22,21,19,17,15,12,0
9,12,15,21,23,26,29,33,40,55,86,148,238,406,434,317,205,130,89,62,50,41,34,30,27,24,22,20,18,16,12,0
7,8,10,14,15,16,18,20,22,25,29,34,45,101,220,339,373,320,234,131,80,53,40,34,30,27,24,21,19,17,12,2
4,6,7,9,9,10,11,12,13,15,16,18,20,25,37,72,150,252,336,312,216,109,58,42,34,30,27,24,20,18,13,8
3,4,5,6,7,7,8,8,9,10,11,12,13,16,19,25,39,75,142,262,308,229,108,58,41,34,30,27,22,19,14,11
1,2,3,4,4,5,5,6,6,7,7,8,8,10,12,14,17,22,31,76,169,288,236,122,64,43,35,30,24,20,16,11
0,0,0,154,568,936,524,217,172,149,126,107,97,86,76,69,63,58,53,48,46,42,38,34,31,30,28,27,24,20,19,0
0,0,0,19,109,415,762,603,346,230,176,143,119,96,84,74,68,62,57,50,47,44,40,35,32,30,29,27,24,21,19,0
0,0,0,0,13,77,302,609,605,432,297,217,167,115,94,81,73,66,60,53,48,45,41,37,33,31,29,28,25,21,19,0
0,0,0,0,9,54,219,479,563,476,357,263,199,129,99,85,75,68,62,54,49,45,41,37,33,31,29,28,25,21,19,0
0,0,0,0,0,6,38,159,372,500,484,399,309,183,123,96,82,73,66,58,51,46,42,38,34,31,30,28,25,22,19,0
0,0,0,0,0,4,27,115,287,429,465,421,346,213,138,103,86,76,68,59,52,47,43,39,34,32,30,29,25,22,19,0
0,0,0,0,0,0,1,10,46,132,246,338,381,341,243,165,119,94,80,67,58,50,45,41,37,33,31,29,26,23,19,0
0,0,0,0,0,0,0,1,4,22,69,149,241,357,331,246,170,122,96,76,64,54,47,42,38,34,32,30,27,24,19,0
0,0,0,0,0,0,0,0,0,0,0,1,4,41,142,258,310,285,224,142,97,71,55,47,43,39,35,32,29,25,20,4
0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,49,130,221,279,255,182,108,70,55,47,42,38,34,30,27,20,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,52,119,224,256,193,107,70,55,47,42,38,32,28,22,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,52,141,240,199,117,74,56,48,43,35,30,24,18
